Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
Yes,112,Yes,No,0,2,335.5,77,76,10.63,12.7
Yes,93,Yes,No,0.29,1,328.1,106,71.9,7.59,8.7
Yes,89,Yes,No,0,1,326.3,112,70,8.26,7.5
Yes,75,Yes,No,0,2,314.6,102,68,8.49,5.7
Yes,74,Yes,No,0,3,314.1,86,73,11.12,12.3
Yes,44,Yes,No,0.34,4,308.6,139,69.4,7.54,7.3
Yes,75,Yes,No,0,0,305.1,106,68,9.4,8.5
Yes,42,Yes,No,0,1,303.9,106,72,11.61,5.8
Yes,76,Yes,No,0,0,299.5,125,71,11.34,13.7
Yes,125,No,No,0.3,0,298.4,78,77,13.53,12.2
Yes,74,Yes,No,0.32,2,298.1,112,71.2,10.07,9.7
Yes,39,Yes,No,0,1,295.4,126,70,11.61,11.5
Yes,108,Yes,No,0.27,2,291.6,99,71.7,11.06,14
Yes,60,Yes,No,0,2,289.8,101,71,12.78,11.7
Yes,44,Yes,No,0.21,3,288.1,112,73.1,12.9,10.2
Yes,72,Yes,No,0,4,287.4,116,69,11.77,5
No,104,Yes,Yes,3.59,4,280.2,136,102.9,11.03,13.3
Yes,182,Yes,No,0,2,279.5,118,65,10.16,10.7
Yes,182,Yes,No,0,2,279.1,124,63,9.03,9.5
Yes,71,Yes,No,0,0,278.9,110,64,9.51,11.7
Yes,133,Yes,No,0,2,277.3,138,67,11.42,12.8
Yes,97,Yes,No,0.4,0,276.1,82,69,10.06,8.9
Yes,105,No,No,0,1,273.9,119,71,13.93,10.9
Yes,102,Yes,No,0,2,273.2,85,65,10.56,13.1
No,91,Yes,Yes,2.59,1,273,78,90.9,10.78,9.6
Yes,57,Yes,No,0,2,272.7,74,66,11.25,10.5
No,93,Yes,No,0.19,2,271.6,71,67.9,11.47,10.9
Yes,172,Yes,No,0,2,270,102,68,12.83,12
Yes,94,Yes,No,0.28,3,269.2,104,65.8,9.69,8.9
Yes,95,Yes,No,0,2,269,120,66,11.69,7.3
Yes,109,No,No,0,2,268.4,85,59,7.53,9.7
Yes,118,Yes,No,0,5,267.8,145,73,15.82,14.4
Yes,82,Yes,No,0,3,266.9,83,65,11.49,11
Yes,127,Yes,No,0.26,1,266.6,106,70.6,13.24,5.9
Yes,49,Yes,No,0,2,266.3,90,63,10.39,14
Yes,112,Yes,No,0.28,2,266,97,66.8,10.73,14.2
Yes,25,Yes,No,0,1,264.9,80,69,14.06,8.4
Yes,88,Yes,No,0,1,264.8,124,66,12.27,14.8
No,87,Yes,Yes,2.3,3,263.8,65,77,5.17,8.5
Yes,119,Yes,No,0,1,260.1,101,67,12.83,10
Yes,19,Yes,No,0,1,259.4,116,68,13.49,9.5
Yes,46,Yes,No,0,2,900.2,67,66,13.06,13.4
Yes,133,No,No,0,0,254.7,103,65,12.61,8
Yes,92,No,No,0,3,252.3,120,61,10.35,12
Yes,54,Yes,No,0.21,2,247.5,85,64.1,11.27,10.2
No,128,Yes,No,0.36,3,247.3,91,61.6,9.14,14.7
Yes,134,Yes,Yes,1.65,2,247.2,105,78.5,11.28,6.1
Yes,91,No,No,0,2,246.4,110,58,9.1,12.1
Yes,145,Yes,No,0,1,245.8,116,67,14.34,9
Yes,77,Yes,No,0,0,245.2,87,64,12.71,7.5
No,148,Yes,Yes,4.1,2,244.9,150,93,5.9,15.2
Yes,126,No,No,0,1,239.7,87,65,14.09,11.4
Yes,128,Yes,No,0,1,237.9,125,62,12.38,13.9
Yes,49,No,No,0.26,2,237.8,92,61.6,10.45,15.6
Yes,152,No,Yes,3.83,9,237.5,120,100.3,12.67,14.2
Yes,97,No,No,0.38,0,236.9,107,57.8,7.88,7.3
Yes,78,No,No,0,1,236.8,141,63,13.27,9.5
No,151,Yes,No,0,3,235.9,104,47,4.03,5.8
No,179,Yes,No,0.32,1,234.5,134,57.2,8.21,6.1
Yes,94,Yes,No,0.18,1,234.4,103,65.8,13.97,0
No,37,Yes,No,0,2,233.7,114,58,10.4,12
Yes,148,No,No,0.21,0,233.5,81,58.1,9.39,9.6
No,173,Yes,Yes,1.35,3,232.4,96,71.5,10.6,5
No,180,Yes,Yes,2.05,1,231.8,78,80.5,11.65,7.6
Yes,51,Yes,No,0,1,229.7,129,68,16.8,9.6
No,69,Yes,No,0,3,228.2,70,62,13.19,10.7
No,189,Yes,No,0,2,227.4,84,54,8.8,6.3
Yes,98,Yes,No,0.38,5,227.1,116,52.8,6.03,4.7
Yes,115,Yes,No,0,3,226.4,101,63,13.84,12.3
Yes,84,Yes,No,0,3,225.9,86,62,13.78,14.3
Yes,93,No,Yes,3.78,1,225.7,117,86.8,5.98,14
No,163,Yes,No,0,1,223,120,58,11.35,8.8
Yes,75,No,No,0,1,222.4,78,66,16.35,8.7
No,164,Yes,Yes,3.86,1,219.1,88,89.6,7.58,14.3
No,161,Yes,Yes,1.97,1,218.5,76,66.7,5.64,7.3
No,100,Yes,No,0.3,0,216.2,107,59,10.78,10.2
No,128,Yes,No,0,1,216,111,50,7.69,12.7
No,108,Yes,No,0,1,215.6,78,54,9.77,3.6
No,113,Yes,No,0,4,215.5,129,56,10.94,6.6
No,116,No,No,0.3,3,215.4,104,58,10.24,12.6
No,63,Yes,Yes,2.21,0,214.9,86,76.1,9.91,8.2
No,52,Yes,No,0.35,2,214.7,68,53.5,7.93,9.4
No,54,No,No,0,1,214.1,77,57,12.03,10.1
No,11,Yes,Yes,2.57,0,213,115,78.7,9.56,9.5
Yes,89,Yes,No,0,1,213,63,52,8.83,9.1
No,92,Yes,No,0.29,1,212.4,105,58.9,11.23,9
No,107,Yes,No,0.47,3,212.1,95,53.7,7.51,7.7
No,150,Yes,Yes,1.78,0,209.9,77,67.8,7.9,6.6
Yes,108,Yes,Yes,2.46,6,209.5,108,69.6,5.48,9.1
Yes,113,Yes,No,0,1,209.4,151,66,17.37,7.4
No,148,Yes,Yes,4.46,2,209.2,110,90.6,5.83,16.5
No,72,Yes,No,0,0,207.8,92,52,9.79,13.1
No,41,Yes,Yes,1.59,1,207.3,95,62.9,6.87,5.9
No,122,Yes,Yes,2.32,2,204.5,92,70.2,6.98,8.6
No,113,No,No,0.31,1,204.3,82,54.1,9.44,9.2
No,133,Yes,No,0,0,201.7,85,49,8.47,6
Yes,135,Yes,Yes,3.48,2,201.4,100,90.8,12.33,12.9
No,90,Yes,No,0,1,200.9,92,49,8.22,8.9
